SOLUTION
1 n060w4

ASSIGNMENTS = 223
HN_0 Mon Night HeadNurse
HN_0 Tue Night HeadNurse
HN_0 Wed Night HeadNurse
HN_0 Thu Night Nurse
HN_1 Mon Late HeadNurse
HN_1 Tue Late HeadNurse
HN_1 Wed Late Nurse
HN_1 Thu Late Nurse
HN_1 Fri Late HeadNurse
HN_2 Tue Night Nurse
HN_2 Wed Night Nurse
HN_2 Thu Night Nurse
HN_2 Fri Night HeadNurse
HN_3 Tue Early HeadNurse
HN_3 Wed Early HeadNurse
HN_3 Thu Day HeadNurse
HN_3 Fri Day HeadNurse
HN_4 Thu Early Nurse
HN_4 Fri Early HeadNurse
HN_4 Sat Early HeadNurse
HN_4 Sun Late HeadNurse
HN_5 Wed Day Nurse
HN_5 Thu Day Nurse
HN_5 Fri Day Nurse
HN_6 Mon Day HeadNurse
HN_6 Tue Day HeadNurse
NU_7 Mon Night Nurse
NU_8 Mon Night Nurse
NU_8 Tue Night Nurse
NU_8 Wed Night Nurse
NU_9 Mon Early Nurse
NU_9 Tue Early Nurse
NU_10 Mon Late Nurse
NU_11 Mon Early Nurse
NU_11 Tue Night Caretaker
NU_11 Wed Night Nurse
NU_11 Thu Night Caretaker
NU_11 Fri Night Nurse
NU_12 Mon Day Nurse
NU_13 Mon Day Nurse
NU_13 Tue Day Nurse
NU_13 Wed Day Nurse
NU_13 Thu Day Nurse
NU_13 Fri Day Nurse
NU_14 Sat Early Nurse
NU_14 Sun Early Nurse
NU_15 Tue Early Nurse
NU_15 Wed Early Nurse
NU_15 Thu Early Nurse
NU_15 Fri Day Nurse
NU_15 Sat Day Nurse
NU_15 Sun Day Nurse
NU_16 Mon Early Nurse
NU_17 Mon Night Nurse
NU_18 Mon Day Caretaker
NU_18 Tue Day Nurse
NU_18 Wed Day Nurse
NU_18 Thu Late Nurse
NU_18 Fri Late Nurse
NU_19 Fri Day Caretaker
NU_19 Sat Day Nurse
NU_19 Sun Day Nurse
NU_20 Fri Early Nurse
NU_20 Sat Early Caretaker
NU_20 Sun Early Caretaker
NU_21 Wed Early Nurse
NU_21 Thu Early Nurse
NU_21 Fri Early Nurse
NU_22 Fri Late Nurse
NU_22 Sat Late Nurse
NU_22 Sun Night Nurse
NU_23 Wed Early Nurse
NU_23 Thu Early Caretaker
NU_23 Fri Early Caretaker
NU_24 Mon Day Caretaker
NU_24 Tue Day Nurse
NU_24 Wed Day Caretaker
NU_25 Mon Late Nurse
NU_25 Tue Late Nurse
NU_25 Wed Night Caretaker
NU_25 Thu Night Caretaker
NU_25 Fri Night Nurse
NU_25 Sat Night Nurse
NU_25 Sun Night Nurse
NU_26 Mon Day Caretaker
NU_26 Tue Day Caretaker
NU_26 Wed Day Caretaker
NU_26 Thu Day Nurse
NU_26 Fri Day Caretaker
NU_26 Sat Late Nurse
NU_26 Sun Late Nurse
NU_27 Mon Night Caretaker
NU_27 Tue Night Caretaker
NU_27 Wed Night Caretaker
NU_27 Thu Night Caretaker
NU_27 Fri Night Caretaker
NU_28 Mon Late Nurse
NU_28 Tue Late Nurse
NU_28 Wed Late Nurse
NU_28 Thu Late Nurse
NU_28 Fri Late Nurse
NU_29 Mon Early Caretaker
NU_29 Tue Early Nurse
NU_29 Wed Early Caretaker
NU_29 Thu Late Caretaker
NU_29 Fri Late Caretaker
NU_30 Wed Day Caretaker
NU_30 Thu Day Caretaker
NU_30 Fri Day Caretaker
NU_31 Mon Day Caretaker
NU_31 Tue Day Caretaker
NU_31 Wed Day Caretaker
NU_31 Thu Day Caretaker
NU_31 Fri Day Caretaker
NU_32 Tue Late Nurse
NU_32 Wed Late Caretaker
NU_32 Thu Late Caretaker
NU_33 Tue Day Caretaker
NU_33 Wed Day Caretaker
NU_33 Thu Day Caretaker
NU_34 Mon Early Caretaker
NU_34 Tue Early Caretaker
NU_34 Wed Night Caretaker
NU_34 Thu Night Caretaker
NU_34 Fri Night Caretaker
NU_34 Sat Night Caretaker
NU_34 Sun Night Caretaker
NU_35 Wed Late Caretaker
NU_35 Thu Late Caretaker
NU_35 Fri Late Caretaker
NU_36 Mon Night Caretaker
NU_36 Tue Night Caretaker
NU_36 Wed Night Caretaker
CT_37 Wed Early Caretaker
CT_37 Thu Early Caretaker
CT_37 Fri Day Caretaker
CT_37 Sat Day Caretaker
CT_37 Sun Day Caretaker
CT_38 Mon Late Caretaker
CT_38 Tue Late Caretaker
CT_38 Wed Night Caretaker
CT_38 Thu Night Caretaker
CT_38 Fri Night Caretaker
CT_38 Sat Night Caretaker
CT_38 Sun Night Caretaker
CT_39 Mon Early Caretaker
CT_39 Tue Early Caretaker
CT_39 Wed Early Caretaker
CT_39 Thu Early Caretaker
CT_39 Fri Early Caretaker
CT_40 Tue Late Caretaker
CT_40 Wed Late Caretaker
CT_40 Thu Late Caretaker
CT_41 Mon Late Caretaker
CT_41 Tue Late Caretaker
CT_41 Fri Early Caretaker
CT_41 Sat Early Caretaker
CT_41 Sun Early Caretaker
CT_42 Mon Night Caretaker
CT_43 Tue Day Caretaker
CT_43 Wed Day Caretaker
CT_43 Thu Day Caretaker
CT_44 Mon Late Caretaker
CT_44 Tue Late Caretaker
CT_44 Fri Day Caretaker
CT_44 Sat Day Caretaker
CT_44 Sun Day Caretaker
CT_45 Mon Late Caretaker
CT_45 Tue Late Caretaker
CT_45 Wed Late Caretaker
CT_45 Thu Late Caretaker
CT_45 Fri Late Caretaker
CT_46 Mon Early Caretaker
CT_46 Tue Early Caretaker
CT_46 Wed Early Caretaker
CT_46 Thu Early Caretaker
CT_46 Fri Early Caretaker
CT_46 Sat Late Caretaker
CT_46 Sun Late Caretaker
CT_47 Mon Late Caretaker
CT_48 Mon Early Caretaker
CT_48 Tue Early Caretaker
CT_48 Wed Early Caretaker
CT_48 Thu Early Caretaker
CT_48 Fri Early Caretaker
CT_48 Sat Late Caretaker
CT_48 Sun Late Caretaker
CT_49 Mon Night Caretaker
CT_49 Tue Night Caretaker
CT_49 Wed Night Caretaker
CT_50 Thu Early Caretaker
CT_50 Fri Early Caretaker
CT_50 Sat Early Caretaker
CT_50 Sun Day Caretaker
CT_51 Mon Day Caretaker
CT_51 Tue Day Caretaker
TR_52 Mon Day Trainee
TR_52 Thu Day Trainee
TR_52 Fri Day Trainee
TR_52 Sat Late Trainee
TR_52 Sun Late Trainee
TR_53 Mon Late Trainee
TR_53 Sat Day Trainee
TR_53 Sun Day Trainee
TR_54 Mon Early Trainee
TR_54 Tue Early Trainee
TR_54 Wed Early Trainee
TR_55 Sat Early Trainee
TR_55 Sun Early Trainee
TR_56 Wed Late Trainee
TR_56 Thu Late Trainee
TR_56 Fri Late Trainee
TR_57 Tue Early Trainee
TR_57 Wed Early Trainee
TR_57 Thu Early Trainee
TR_58 Mon Night Trainee
TR_58 Tue Night Trainee
TR_58 Wed Night Trainee
TR_59 Wed Day Trainee
TR_59 Thu Day Trainee
TR_59 Fri Night Trainee
TR_59 Sat Night Trainee
TR_59 Sun Night Trainee
