ASSIGNMENTS = 884
HN_2 0/Mon Day Nurse
HN_3 0/Mon Early HeadNurse
HN_4 0/Mon Night HeadNurse
HN_6 0/Mon Late Nurse
NU_13 0/Mon Early Nurse
NU_15 0/Mon Day Nurse
NU_16 0/Mon Early Nurse
NU_19 0/Mon Late Nurse
NU_21 0/Mon Day Caretaker
NU_22 0/Mon Early Nurse
NU_23 0/Mon Late Nurse
NU_24 0/Mon Early Caretaker
NU_25 0/Mon Late Caretaker
NU_26 0/Mon Night Nurse
NU_27 0/Mon Early Caretaker
NU_28 0/Mon Night Nurse
NU_29 0/Mon Late Caretaker
NU_31 0/Mon Night Caretaker
NU_34 0/Mon Night Caretaker
NU_35 0/Mon Day Caretaker
NU_36 0/Mon Night Caretaker
CT_37 0/Mon Night Caretaker
CT_38 0/Mon Late Caretaker
CT_39 0/Mon Night Caretaker
CT_40 0/Mon Early Caretaker
CT_41 0/Mon Late Caretaker
CT_44 0/Mon Late Caretaker
CT_45 0/Mon Day Caretaker
CT_46 0/Mon Day Caretaker
CT_48 0/Mon Late Caretaker
CT_49 0/Mon Early Caretaker
CT_50 0/Mon Early Caretaker
TR_52 0/Mon Night Trainee
TR_54 0/Mon Day Trainee
TR_58 0/Mon Late Trainee
TR_59 0/Mon Late Trainee
HN_2 1/Tue Day HeadNurse
HN_3 1/Tue Early Nurse
HN_4 1/Tue Night Nurse
HN_6 1/Tue Late HeadNurse
NU_7 1/Tue Day Nurse
NU_8 1/Tue Day Nurse
NU_13 1/Tue Early Nurse
NU_15 1/Tue Day Nurse
NU_17 1/Tue Day Nurse
NU_19 1/Tue Late Nurse
NU_21 1/Tue Day Caretaker
NU_22 1/Tue Early Nurse
NU_23 1/Tue Late Nurse
NU_24 1/Tue Early Caretaker
NU_25 1/Tue Late Caretaker
NU_27 1/Tue Early Caretaker
NU_28 1/Tue Night Nurse
NU_29 1/Tue Late Caretaker
NU_30 1/Tue Night Nurse
NU_31 1/Tue Night Nurse
NU_32 1/Tue Night Caretaker
NU_33 1/Tue Late Caretaker
NU_35 1/Tue Day Caretaker
CT_37 1/Tue Night Caretaker
