ASSIGNMENTS = 2158
HN_5 0/Mon Day Nurse
HN_7 0/Mon Late Nurse
NU_10 0/Mon Night Nurse
NU_11 0/Mon Late Caretaker
NU_12 0/Mon Late Caretaker
NU_15 0/Mon Early Nurse
NU_17 0/Mon Early Caretaker
NU_18 0/Mon Day Caretaker
CT_20 0/Mon Late Caretaker
CT_21 0/Mon Early Caretaker
CT_22 0/Mon Late Caretaker
CT_24 0/Mon Early Caretaker
CT_26 0/Mon Early Caretaker
CT_27 0/Mon Night Caretaker
CT_29 0/Mon Day Caretaker
CT_32 0/Mon Late Caretaker
CT_34 0/Mon Late Caretaker
CT_35 0/Mon Day Caretaker
CT_36 0/Mon Night Caretaker
CT_38 0/Mon Early Caretaker
CT_39 0/Mon Night Caretaker
CT_40 0/Mon Night Caretaker
CT_42 0/Mon Day Caretaker
CT_44 0/Mon Day Caretaker
CT_46 0/Mon Night Caretaker
CT_47 0/Mon Day Caretaker
CT_48 0/Mon Night Caretaker
CT_49 0/Mon Early Caretaker
CT_50 0/Mon Late Caretaker
CT_53 0/Mon Late Caretaker
CT_57 0/Mon Night Caretaker
CT_58 0/Mon Day Caretaker
TR_64 0/Mon Night Trainee
TR_66 0/Mon Late Trainee
TR_67 0/Mon Early Trainee
TR_68 0/Mon Early Trainee
TR_69 0/Mon Day Trainee
TR_70 0/Mon Late Trainee
TR_76 0/Mon Day Trainee
TR_77 0/Mon Early Trainee
HN_2 1/Tue Night Nurse
HN_5 1/Tue Day HeadNurse
HN_7 1/Tue Late HeadNurse
HN_8 1/Tue Early HeadNurse
NU_11 1/Tue Late Nurse
NU_12 1/Tue Late Nurse
NU_14 1/Tue Early Nurse
NU_17 1/Tue Early Caretaker
NU_18 1/Tue Day Nurse
CT_21 1/Tue Early Caretaker
CT_22 1/Tue Late Caretaker
CT_24 1/Tue Early Caretaker
CT_26 1/Tue Early Caretaker
CT_29 1/Tue Day Caretaker
CT_31 1/Tue Early Caretaker
CT_32 1/Tue Late Caretaker
CT_35 1/Tue Day Caretaker
CT_36 1/Tue Night Caretaker
CT_39 1/Tue Night Caretaker
CT_42 1/Tue Day Caretaker
CT_43 1/Tue Late Caretaker
CT_46 1/Tue Night Caretaker
CT_47 1/Tue Day Caretaker
CT_48 1/Tue Night Caretaker
CT_50 1/Tue Late Caretaker
CT_51 1/Tue Night Caretaker
CT_52 1/Tue Early Caretaker
CT_53 1/Tue Late Caretaker
CT_54 1/Tue Early Caretaker
CT_58 1/Tue Day Caretaker
TR_64 1/Tue Night Trainee
TR_66 1/Tue Late Trainee
TR_68 1/Tue Early Trainee
TR_69 1/Tue Day Trainee
TR_70 1/Tue Late Trainee
TR_72 1/Tue Night Trainee
TR_76 1/Tue Day Trainee
TR_77 1/Tue Early Trainee
HN_1 2/Wed Day HeadNurse
HN_2 2/Wed Night Nurse
HN_5 2/Wed Day HeadNurse
HN_6 2/Wed Night Nurse
HN_8 2/Wed Early HeadNurse
NU_10 2/Wed Night Caretaker
NU_12 2/Wed Late Nurse
NU_13 2/Wed Day Nurse
NU_14 2/Wed Early Nurse
NU_16 2/Wed Day Nurse
NU_17 2/Wed Early Caretaker
NU_19 2/Wed Late Nurse
CT_21 2/Wed Early Caretaker
CT_22 2/Wed Late Caretaker
CT_24 2/Wed Early Caretaker
CT_25 2/Wed Day Caretaker
CT_31 2/Wed Early Caretaker
CT_32 2/Wed Late Caretaker
CT_33 2/Wed Late Caretaker
CT_35 2/Wed Day Caretaker
CT_36 2/Wed Night Caretaker
CT_37 2/Wed Day Caretaker
CT_39 2/Wed Night Caretaker
CT_42 2/Wed Day Caretaker
CT_43 2/Wed Late Caretaker
CT_46 2/Wed Night Caretaker
CT_48 2/Wed Night Caretaker
CT_50 2/Wed Late Caretaker
CT_51 2/Wed Night Caretaker
CT_52 2/Wed Early Caretaker
CT_53 2/Wed Late Caretaker
CT_54 2/Wed Early Caretaker
CT_56 2/Wed Late Caretaker
CT_58 2/Wed Day Caretaker
TR_61 2/Wed Day Trainee
TR_64 2/Wed Night Trainee
TR_66 2/Wed Late Trainee
TR_68 2/Wed Early Trainee
TR_69 2/Wed Day Trainee
TR_70 2/Wed Late Trainee
TR_71 2/Wed Day Trainee
TR_72 2/Wed Night Trainee
TR_74 2/Wed Early Trainee
TR_75 2/Wed Early Trainee
TR_76 2/Wed Night Trainee
TR_78 2/Wed Late Trainee
TR_79 2/Wed Late Trainee
HN_1 3/Thu Day HeadNurse
HN_2 3/Thu Night HeadNurse
HN_3 3/Thu Late HeadNurse
HN_6 3/Thu Night Nurse
HN_8 3/Thu Early Nurse
NU_10 3/Thu Night Nurse
NU_12 3/Thu Late Nurse
NU_13 3/Thu Day Nurse
NU_14 3/Thu Early Caretaker
NU_16 3/Thu Day Caretaker
NU_19 3/Thu Late Nurse
CT_25 3/Thu Day Caretaker
CT_27 3/Thu Night Caretaker
CT_28 3/Thu Early Caretaker
CT_31 3/Thu Early Caretaker
CT_32 3/Thu Late Caretaker
CT_33 3/Thu Late Caretaker
CT_36 3/Thu Night Caretaker
CT_37 3/Thu Day Caretaker
CT_38 3/Thu Day Caretaker
CT_39 3/Thu Night Caretaker
CT_40 3/Thu Night Caretaker
CT_42 3/Thu Day Caretaker
CT_43 3/Thu Late Caretaker
CT_44 3/Thu Early Caretaker
CT_46 3/Thu Night Caretaker
CT_48 3/Thu Night Caretaker
CT_49 3/Thu Late Caretaker
CT_51 3/Thu Night Caretaker
CT_52 3/Thu Early Caretaker
CT_53 3/Thu Late Caretaker
CT_54 3/Thu Early Caretaker
CT_55 3/Thu Day Caretaker
CT_56 3/Thu Late Caretaker
CT_57 3/Thu Early Caretaker
TR_61 3/Thu Day Trainee
TR_63 3/Thu Early Trainee
