ASSIGNMENTS = 1264
HN_0 0/Mon Late HeadNurse
HN_4 0/Mon Early HeadNurse
NU_6 0/Mon Late Nurse
NU_8 0/Mon Day Nurse
NU_10 0/Mon Day Caretaker
NU_11 0/Mon Early Nurse
NU_12 0/Mon Night Nurse
NU_13 0/Mon Early Caretaker
NU_16 0/Mon Night Caretaker
CT_18 0/Mon Early Caretaker
CT_22 0/Mon Day Caretaker
CT_25 0/Mon Late Caretaker
CT_26 0/Mon Late Caretaker
CT_27 0/Mon Day Caretaker
CT_28 0/Mon Night Caretaker
CT_29 0/Mon Night Caretaker
CT_30 0/Mon Early Caretaker
TR_32 0/Mon Day Trainee
TR_34 0/Mon Early Trainee
TR_35 0/Mon Night Trainee
TR_36 0/Mon Late Trainee
TR_38 0/Mon Early Trainee
TR_39 0/Mon Night Trainee
HN_2 1/Tue Late Nurse
HN_4 1/Tue Early Nurse
HN_5 1/Tue Night Nurse
NU_6 1/Tue Late Nurse
NU_10 1/Tue Day Nurse
NU_11 1/Tue Early Caretaker
NU_12 1/Tue Night Caretaker
NU_16 1/Tue Night Caretaker
CT_18 1/Tue Early Caretaker
CT_21 1/Tue Late Caretaker
CT_22 1/Tue Day Caretaker
CT_23 1/Tue Day Caretaker
CT_25 1/Tue Late Caretaker
CT_26 1/Tue Late Caretaker
CT_27 1/Tue Day Caretaker
CT_28 1/Tue Night Caretaker
CT_29 1/Tue Night Caretaker
CT_30 1/Tue Early Caretaker
TR_32 1/Tue Day Trainee
TR_34 1/Tue Early Trainee
TR_36 1/Tue Late Trainee
TR_39 1/Tue Night Trainee
HN_2 2/Wed Late Caretaker
HN_3 2/Wed Early HeadNurse
HN_4 2/Wed Day Nurse
HN_5 2/Wed Night Nurse
NU_6 2/Wed Late Nurse
NU_7 2/Wed Late Caretaker
NU_9 2/Wed Early Nurse
NU_10 2/Wed Day Caretaker
NU_11 2/Wed Early Nurse
NU_12 2/Wed Night Caretaker
NU_14 2/Wed Late Caretaker
NU_15 2/Wed Night Caretaker
CT_18 2/Wed Early Caretaker
CT_19 2/Wed Early Caretaker
CT_20 2/Wed Day Caretaker
CT_21 2/Wed Late Caretaker
CT_22 2/Wed Day Caretaker
CT_23 2/Wed Day Caretaker
CT_24 2/Wed Late Caretaker
CT_27 2/Wed Day Caretaker
CT_28 2/Wed Night Caretaker
CT_31 2/Wed Early Caretaker
TR_32 2/Wed Day Trainee
TR_33 2/Wed Day Trainee
TR_34 2/Wed Early Trainee
TR_36 2/Wed Late Trainee
TR_39 2/Wed Night Trainee
HN_2 3/Thu Late HeadNurse
HN_3 3/Thu Early Caretaker
HN_4 3/Thu Day Caretaker
HN_5 3/Thu Night Nurse
NU_7 3/Thu Late Nurse
