ASSIGNMENTS = 1487
HN_2 0/Mon Day HeadNurse
HN_3 0/Mon Night HeadNurse
HN_4 0/Mon Early HeadNurse
HN_6 0/Mon Day Nurse
HN_7 0/Mon Late HeadNurse
HN_8 0/Mon Night HeadNurse
HN_9 0/Mon Late HeadNurse
HN_14 0/Mon Early HeadNurse
HN_15 0/Mon Day Nurse
HN_16 0/Mon Day Nurse
HN_19 0/Mon Night Nurse
NU_21 0/Mon Early Nurse
NU_22 0/Mon Early Nurse
NU_23 0/Mon Night Nurse
NU_24 0/Mon Late Nurse
NU_25 0/Mon Late Nurse
NU_26 0/Mon Day Nurse
NU_27 0/Mon Early Nurse
NU_28 0/Mon Early Caretaker
NU_29 0/Mon Late Nurse
NU_32 0/Mon Night Nurse
NU_34 0/Mon Late Caretaker
NU_37 0/Mon Day Caretaker
NU_38 0/Mon Late Caretaker
NU_39 0/Mon Day Caretaker
CT_42 0/Mon Day Caretaker
CT_45 0/Mon Night Caretaker
CT_47 0/Mon Early Caretaker
CT_49 0/Mon Day Caretaker
CT_50 0/Mon Early Caretaker
CT_51 0/Mon Night Caretaker
CT_54 0/Mon Night Caretaker
CT_55 0/Mon Day Caretaker
CT_58 0/Mon Late Caretaker
CT_60 0/Mon Late Caretaker
CT_62 0/Mon Day Caretaker
CT_63 0/Mon Day Caretaker
CT_64 0/Mon Night Caretaker
CT_65 0/Mon Day Caretaker
CT_66 0/Mon Night Caretaker
CT_67 0/Mon Early Caretaker
CT_68 0/Mon Early Caretaker
CT_70 0/Mon Early Caretaker
CT_71 0/Mon Late Caretaker
CT_73 0/Mon Late Caretaker
CT_76 0/Mon Night Caretaker
CT_77 0/Mon Night Caretaker
CT_78 0/Mon Late Caretaker
TR_81 0/Mon Day Trainee
TR_83 0/Mon Day Trainee
TR_84 0/Mon Night Trainee
TR_85 0/Mon Early Trainee
TR_88 0/Mon Night Trainee
TR_90 0/Mon Night Trainee
TR_94 0/Mon Early Trainee
TR_95 0/Mon Late Trainee
TR_96 0/Mon Day Trainee
TR_97 0/Mon Late Trainee
TR_99 0/Mon Day Trainee
TR_100 0/Mon Night Trainee
TR_101 0/Mon Early Trainee
TR_102 0/Mon Late Trainee
TR_104 0/Mon Late Trainee
TR_105 0/Mon Night Trainee
TR_106 0/Mon Early Trainee
TR_107 0/Mon Early Trainee
TR_108 0/Mon Day Trainee
TR_109 0/Mon Late Trainee
HN_2 1/Tue Day Nurse
HN_5 1/Tue Late HeadNurse
HN_6 1/Tue Late HeadNurse
HN_7 1/Tue Late Nurse
HN_8 1/Tue Night HeadNurse
HN_9 1/Tue Late Nurse
HN_14 1/Tue Early HeadNurse
HN_16 1/Tue Day Nurse
HN_17 1/Tue Night HeadNurse
HN_19 1/Tue Night Nurse
NU_20 1/Tue Early Nurse
NU_22 1/Tue Early Nurse
NU_23 1/Tue Night Nurse
NU_25 1/Tue Late Nurse
NU_26 1/Tue Day Caretaker
NU_27 1/Tue Early Nurse
NU_32 1/Tue Night Caretaker
NU_34 1/Tue Late Caretaker
NU_35 1/Tue Early Caretaker
NU_37 1/Tue Late Caretaker
NU_38 1/Tue Late Caretaker
NU_39 1/Tue Day Caretaker
CT_45 1/Tue Night Caretaker
CT_49 1/Tue Day Caretaker
CT_50 1/Tue Early Caretaker
CT_51 1/Tue Night Caretaker
CT_52 1/Tue Night Caretaker
CT_54 1/Tue Night Caretaker
CT_55 1/Tue Day Caretaker
CT_58 1/Tue Late Caretaker
CT_61 1/Tue Late Caretaker
CT_62 1/Tue Day Caretaker
CT_63 1/Tue Day Caretaker
CT_64 1/Tue Night Caretaker
CT_65 1/Tue Day Caretaker
CT_67 1/Tue Early Caretaker
CT_68 1/Tue Early Caretaker
CT_70 1/Tue Early Caretaker
CT_71 1/Tue Late Caretaker
CT_73 1/Tue Late Caretaker
CT_75 1/Tue Late Caretaker
CT_77 1/Tue Night Caretaker
TR_81 1/Tue Day Trainee
TR_84 1/Tue Night Trainee
TR_85 1/Tue Early Trainee
TR_87 1/Tue Day Trainee
TR_88 1/Tue Night Trainee
TR_94 1/Tue Early Trainee
TR_95 1/Tue Late Trainee
TR_96 1/Tue Day Trainee
TR_97 1/Tue Late Trainee
TR_99 1/Tue Day Trainee
TR_100 1/Tue Night Trainee
TR_101 1/Tue Early Trainee
TR_102 1/Tue Late Trainee
TR_104 1/Tue Late Trainee
TR_105 1/Tue Night Trainee
TR_107 1/Tue Early Trainee
TR_108 1/Tue Day Trainee
TR_109 1/Tue Late Trainee
HN_0 2/Wed Day HeadNurse
HN_1 2/Wed Early HeadNurse
HN_5 2/Wed Late HeadNurse
HN_6 2/Wed Late HeadNurse
HN_7 2/Wed Late Nurse
HN_8 2/Wed Night HeadNurse
HN_9 2/Wed Late Nurse
HN_10 2/Wed Day Nurse
HN_13 2/Wed Day Nurse
HN_14 2/Wed Early Nurse
HN_16 2/Wed Late Nurse
HN_17 2/Wed Night Nurse
HN_18 2/Wed Early Nurse
HN_19 2/Wed Night Nurse
NU_20 2/Wed Early Caretaker
NU_21 2/Wed Day Nurse
NU_22 2/Wed Early Caretaker
NU_23 2/Wed Night Caretaker
NU_30 2/Wed Early Caretaker
NU_31 2/Wed Late Caretaker
NU_33 2/Wed Late Caretaker
NU_35 2/Wed Early Caretaker
NU_37 2/Wed Late Caretaker
NU_39 2/Wed Day Caretaker
CT_45 2/Wed Night Caretaker
CT_49 2/Wed Early Caretaker
CT_50 2/Wed Early Caretaker
CT_51 2/Wed Night Caretaker
CT_52 2/Wed Night Caretaker
CT_59 2/Wed Day Caretaker
CT_61 2/Wed Late Caretaker
CT_62 2/Wed Early Caretaker
CT_63 2/Wed Day Caretaker
CT_65 2/Wed Day Caretaker
CT_68 2/Wed Early Caretaker
CT_69 2/Wed Day Caretaker
CT_70 2/Wed Late Caretaker
CT_72 2/Wed Late Caretaker
CT_75 2/Wed Late Caretaker
CT_77 2/Wed Night Caretaker
TR_80 2/Wed Night Trainee
TR_81 2/Wed Day Trainee
TR_82 2/Wed Day Trainee
TR_84 2/Wed Night Trainee
TR_87 2/Wed Day Trainee
TR_88 2/Wed Night Trainee
TR_89 2/Wed Early Trainee
TR_91 2/Wed Early Trainee
TR_93 2/Wed Early Trainee
