SOLUTION
4 n110w8

ASSIGNMENTS = 370
HN_0 Mon Early HeadNurse
HN_0 Tue Early HeadNurse
HN_0 Wed Late HeadNurse
HN_0 Thu Late HeadNurse
HN_0 Fri Late HeadNurse
HN_1 Mon Late HeadNurse
HN_1 Tue Late HeadNurse
HN_1 Wed Late HeadNurse
HN_1 Sat Late HeadNurse
HN_1 Sun Late HeadNurse
HN_2 Tue Night HeadNurse
HN_2 Wed Night HeadNurse
HN_2 Thu Night HeadNurse
HN_2 Fri Night HeadNurse
HN_3 Wed Early HeadNurse
HN_3 Thu Early HeadNurse
HN_3 Fri Early HeadNurse
HN_4 Mon Night HeadNurse
HN_4 Tue Night Nurse
HN_4 Wed Night HeadNurse
HN_4 Thu Night HeadNurse
HN_4 Fri Night HeadNurse
HN_5 Mon Night HeadNurse
HN_5 Tue Night Nurse
HN_8 Thu Early HeadNurse
HN_8 Fri Early Nurse
HN_9 Thu Day HeadNurse
HN_9 Fri Day HeadNurse
HN_10 Wed Day HeadNurse
HN_10 Thu Day Nurse
HN_10 Fri Day Nurse
HN_11 Wed Early Nurse
HN_11 Thu Early Nurse
HN_11 Fri Early Nurse
HN_12 Mon Early Nurse
HN_12 Tue Late HeadNurse
HN_12 Wed Late Nurse
HN_13 Mon Day HeadNurse
HN_13 Tue Day HeadNurse
HN_13 Wed Day HeadNurse
HN_14 Thu Early Nurse
HN_14 Fri Early Nurse
HN_15 Sat Early HeadNurse
HN_15 Sun Early HeadNurse
HN_16 Mon Night Nurse
HN_16 Sat Day HeadNurse
HN_16 Sun Day Nurse
HN_17 Fri Night Nurse
HN_17 Sat Night HeadNurse
HN_17 Sun Night HeadNurse
HN_18 Tue Early Nurse
HN_18 Wed Early Nurse
HN_19 Mon Day Nurse
HN_19 Tue Day HeadNurse
HN_19 Fri Late Nurse
HN_19 Sat Late Nurse
HN_19 Sun Late Nurse
NU_20 Thu Late Nurse
NU_20 Fri Late Nurse
NU_21 Mon Day Nurse
NU_21 Tue Day Nurse
NU_21 Wed Day Nurse
NU_21 Sat Early Nurse
NU_21 Sun Early Nurse
NU_22 Wed Night Nurse
NU_22 Thu Night Nurse
NU_22 Fri Night Nurse
NU_22 Sat Night Nurse
NU_22 Sun Night Nurse
NU_23 Tue Night Nurse
NU_23 Wed Night Nurse
NU_23 Thu Night Nurse
NU_23 Fri Night Nurse
NU_24 Sat Late Nurse
NU_24 Sun Late Caretaker
NU_25 Mon Early Nurse
NU_25 Tue Early Nurse
NU_25 Wed Day Nurse
NU_25 Thu Day Nurse
NU_25 Fri Day Nurse
NU_26 Mon Early Nurse
NU_27 Mon Night Caretaker
NU_27 Tue Night Caretaker
NU_27 Wed Night Caretaker
NU_27 Thu Night Caretaker
NU_27 Fri Night Caretaker
NU_28 Tue Day Nurse
NU_28 Wed Day Nurse
NU_28 Thu Late Nurse
NU_28 Fri Late Nurse
NU_29 Mon Early Caretaker
NU_29 Tue Early Caretaker
NU_29 Wed Early Nurse
NU_29 Thu Early Nurse
NU_29 Fri Early Caretaker
NU_30 Wed Late Nurse
NU_30 Thu Late Caretaker
NU_30 Fri Late Nurse
NU_31 Mon Late Nurse
NU_31 Tue Late Nurse
NU_32 Tue Late Nurse
NU_32 Wed Late Nurse
NU_33 Mon Day Nurse
NU_33 Tue Day Nurse
NU_33 Wed Early Nurse
NU_33 Thu Early Caretaker
NU_33 Fri Early Caretaker
NU_34 Wed Late Caretaker
NU_34 Thu Late Caretaker
NU_34 Fri Late Caretaker
NU_35 Mon Day Caretaker
NU_35 Tue Day Nurse
NU_36 Sat Early Nurse
NU_36 Sun Early Nurse
NU_37 Mon Late Nurse
NU_37 Tue Late Caretaker
NU_37 Wed Late Caretaker
NU_37 Thu Late Caretaker
NU_37 Fri Late Caretaker
NU_38 Fri Night Caretaker
NU_38 Sat Night Nurse
NU_38 Sun Night Caretaker
NU_39 Mon Night Caretaker
NU_39 Thu Day Caretaker
NU_39 Fri Day Nurse
NU_39 Sat Day Nurse
